"DATE / TIME (PDT)","SNOW DP INCHES",""
"02/01/1976","NAN",""
"03/01/1976","32",""
"04/01/1976","32",""
"05/01/1976","15",""
"06/01/1976","NAN",""
"07/01/1976","NAN",""
"08/01/1976","NAN",""
"09/01/1976","NAN",""
"10/01/1976","NAN",""
"11/01/1976","NAN",""
"12/01/1976","NAN",""
"01/01/1977","NAN",""
"02/01/1977","NAN",""
"03/01/1977","19",""
"04/01/1977","19",""
"05/01/1977","0",""
"06/01/1977","NAN",""
"07/01/1977","NAN",""
"08/01/1977","NAN",""
"09/01/1977","NAN",""
"10/01/1977","NAN",""
"11/01/1977","NAN",""
"12/01/1977","NAN",""
"01/01/1978","NAN",""
"02/01/1978","NAN",""
"03/01/1978","85",""
"04/01/1978","85",""
"05/01/1978","87",""
"06/01/1978","NAN",""
"07/01/1978","NAN",""
"08/01/1978","NAN",""
"09/01/1978","NAN",""
"10/01/1978","NAN",""
"11/01/1978","NAN",""
"12/01/1978","NAN",""
"01/01/1979","NAN",""
"02/01/1979","NAN",""
"03/01/1979","73",""
"04/01/1979","73",""
"05/01/1979","51",""
"06/01/1979","NAN",""
"07/01/1979","NAN",""
"08/01/1979","NAN",""
"09/01/1979","NAN",""
"10/01/1979","NAN",""
"11/01/1979","NAN",""
"12/01/1979","NAN",""
"01/01/1980","NAN",""
"02/01/1980","NAN",""
"03/01/1980","71",""
"04/01/1980","71",""
"05/01/1980","40",""
"06/01/1980","NAN",""
"07/01/1980","NAN",""
"08/01/1980","NAN",""
"09/01/1980","NAN",""
"10/01/1980","NAN",""
"11/01/1980","NAN",""
"12/01/1980","NAN",""
"01/01/1981","NAN",""
"02/01/1981","NAN",""
"03/01/1981","54",""
"04/01/1981","54",""
"05/01/1981","29",""
"06/01/1981","NAN",""
"07/01/1981","NAN",""
"08/01/1981","NAN",""
"09/01/1981","NAN",""
"10/01/1981","NAN",""
"11/01/1981","NAN",""
"12/01/1981","NAN",""
"01/01/1982","NAN",""
"02/01/1982","NAN",""
"03/01/1982","62",""
"04/01/1982","62",""
"05/01/1982","NAN",""
"06/01/1982","NAN",""
"07/01/1982","NAN",""
"08/01/1982","NAN",""
"09/01/1982","NAN",""
"10/01/1982","NAN",""
"11/01/1982","NAN",""
"12/01/1982","NAN",""
"01/01/1983","NAN",""
"02/01/1983","NAN",""
"03/01/1983","142",""
"04/01/1983","142",""
"05/01/1983","132",""
"06/01/1983","64",""
"07/01/1983","NAN",""
"08/01/1983","NAN",""
"09/01/1983","NAN",""
"10/01/1983","NAN",""
"11/01/1983","NAN",""
"12/01/1983","NAN",""
"01/01/1984","NAN",""
"02/01/1984","NAN",""
"03/01/1984","20",""
"04/01/1984","20",""
"05/01/1984","0",""
"06/01/1984","NAN",""
"07/01/1984","NAN",""
"08/01/1984","NAN",""
"09/01/1984","NAN",""
"10/01/1984","NAN",""
"11/01/1984","NAN",""
"12/01/1984","NAN",""
"01/01/1985","NAN",""
"02/01/1985","NAN",""
"03/01/1985","84",""
"04/01/1985","84",""
"05/01/1985","21",""
"06/01/1985","NAN",""
"07/01/1985","NAN",""
"08/01/1985","NAN",""
"09/01/1985","NAN",""
"10/01/1985","NAN",""
"11/01/1985","NAN",""
"12/01/1985","NAN",""
"01/01/1986","NAN",""
"02/01/1986","NAN",""
"03/01/1986","49",""
"04/01/1986","49",""
"05/01/1986","0",""
"06/01/1986","NAN",""
"07/01/1986","NAN",""
"08/01/1986","NAN",""
"09/01/1986","NAN",""
"10/01/1986","NAN",""
"11/01/1986","NAN",""
"12/01/1986","NAN",""
"01/01/1987","NAN",""
"02/01/1987","NAN",""
"03/01/1987","36",""
"04/01/1987","36",""
"05/01/1987","0",""
"06/01/1987","NAN",""
"07/01/1987","NAN",""
"08/01/1987","NAN",""
"09/01/1987","NAN",""
"10/01/1987","NAN",""
"11/01/1987","NAN",""
"12/01/1987","NAN",""
"01/01/1988","NAN",""
"02/01/1988","NAN",""
"03/01/1988","8",""
"04/01/1988","8",""
"05/01/1988","0",""
"06/01/1988","NAN",""
"07/01/1988","NAN",""
"08/01/1988","NAN",""
"09/01/1988","NAN",""
"10/01/1988","NAN",""
"11/01/1988","NAN",""
"12/01/1988","NAN",""
"01/01/1989","NAN",""
"02/01/1989","53",""
"03/01/1989","53",""
"04/01/1989","50",""
"05/01/1989","9",""
"06/01/1989","NAN",""
"07/01/1989","NAN",""
"08/01/1989","NAN",""
"09/01/1989","NAN",""
"10/01/1989","NAN",""
"11/01/1989","NAN",""
"12/01/1989","NAN",""
"01/01/1990","NAN",""
"02/01/1990","39",""
"03/01/1990","50",""
"04/01/1990","23",""
"05/01/1990","0",""
"06/01/1990","NAN",""
"07/01/1990","NAN",""
"08/01/1990","NAN",""
"09/01/1990","NAN",""
"10/01/1990","NAN",""
"11/01/1990","NAN",""
"12/01/1990","0",""
"01/01/1991","0",""
"02/01/1991","16",""
"03/01/1991","10",""
"04/01/1991","71",""
"05/01/1991","31",""
"06/01/1991","NAN",""
"07/01/1991","NAN",""
"08/01/1991","NAN",""
"09/01/1991","NAN",""
"10/01/1991","NAN",""
"11/01/1991","NAN",""
"12/01/1991","NAN",""
"01/01/1992","NAN",""
"02/01/1992","26",""
"03/01/1992","40",""
"04/01/1992","31",""
"05/01/1992","0",""
"06/01/1992","NAN",""
"07/01/1992","NAN",""
"08/01/1992","NAN",""
"09/01/1992","NAN",""
"10/01/1992","NAN",""
"11/01/1992","NAN",""
"12/01/1992","NAN",""
"01/01/1993","NAN",""
"02/01/1993","76",""
"03/01/1993","107",""
"04/01/1993","80",""
"05/01/1993","44",""
"06/01/1993","NAN",""
"07/01/1993","NAN",""
"08/01/1993","NAN",""
"09/01/1993","NAN",""
"10/01/1993","NAN",""
"11/01/1993","NAN",""
"12/01/1993","NAN",""
"01/01/1994","NAN",""
"02/01/1994","34",""
"03/01/1994","60",""
"04/01/1994","28",""
"05/01/1994","16",""
"06/01/1994","NAN",""
"07/01/1994","NAN",""
"08/01/1994","NAN",""
"09/01/1994","NAN",""
"10/01/1994","NAN",""
"11/01/1994","NAN",""
"12/01/1994","NAN",""
"01/01/1995","NAN",""
"02/01/1995","79",""
"03/01/1995","66",""
"04/01/1995","98",""
"05/01/1995","53",""
"06/01/1995","NAN",""
"07/01/1995","NAN",""
"08/01/1995","NAN",""
"09/01/1995","NAN",""
"10/01/1995","NAN",""
"11/01/1995","NAN",""
"12/01/1995","NAN",""
"01/01/1996","NAN",""
"02/01/1996","70",""
"03/01/1996","60",""
"04/01/1996","58",""
"05/01/1996","7",""
"06/01/1996","NAN",""
"07/01/1996","NAN",""
"08/01/1996","NAN",""
"09/01/1996","NAN",""
"10/01/1996","NAN",""
"11/01/1996","NAN",""
"12/01/1996","NAN",""
"01/01/1997","NAN",""
"02/01/1997","76",""
"03/01/1997","65",""
"04/01/1997","33",""
"05/01/1997","0",""
"06/01/1997","NAN",""
"07/01/1997","NAN",""
"08/01/1997","NAN",""
"09/01/1997","NAN",""
"10/01/1997","NAN",""
"11/01/1997","NAN",""
"12/01/1997","NAN",""
"01/01/1998","NAN",""
"02/01/1998","62",""
"03/01/1998","116",""
"04/01/1998","94",""
"05/01/1998","75",""
"06/01/1998","NAN",""
"07/01/1998","NAN",""
"08/01/1998","NAN",""
"09/01/1998","NAN",""
"10/01/1998","NAN",""
"11/01/1998","NAN",""
"12/01/1998","NAN",""
"01/01/1999","NAN",""
"02/01/1999","43",""
"03/01/1999","75",""
"04/01/1999","121",""
"05/01/1999","36",""
"06/01/1999","NAN",""
"07/01/1999","NAN",""
"08/01/1999","NAN",""
"09/01/1999","NAN",""
"10/01/1999","NAN",""
"11/01/1999","NAN",""
"12/01/1999","NAN",""
"01/01/2000","NAN",""
"02/01/2000","NAN",""
"03/01/2000","78",""
"04/01/2000","45",""
"05/01/2000","20",""
"06/01/2000","NAN",""
"07/01/2000","NAN",""
"08/01/2000","NAN",""
"09/01/2000","NAN",""
"10/01/2000","NAN",""
"11/01/2000","NAN",""
"12/01/2000","NAN",""
"01/01/2001","NAN",""
"02/01/2001","44",""
"03/01/2001","72",""
"04/01/2001","39",""
"05/01/2001","22",""
"06/01/2001","NAN",""
"07/01/2001","NAN",""
"08/01/2001","NAN",""
"09/01/2001","NAN",""
"10/01/2001","NAN",""
"11/01/2001","NAN",""
"12/01/2001","NAN",""
"01/01/2002","NAN",""
"02/01/2002","64",""
"03/01/2002","51",""
"04/01/2002","51",""
"05/01/2002","16",""
"06/01/2002","NAN",""
"07/01/2002","NAN",""
"08/01/2002","NAN",""
"09/01/2002","NAN",""
"10/01/2002","NAN",""
"11/01/2002","NAN",""
"12/01/2002","NAN",""
"01/01/2003","NAN",""
"02/01/2003","41",""
"03/01/2003","40",""
"04/01/2003","21",""
"05/01/2003","37",""
"06/01/2003","NAN",""
"07/01/2003","NAN",""
"08/01/2003","NAN",""
"09/01/2003","NAN",""
"10/01/2003","NAN",""
"11/01/2003","NAN",""
"12/01/2003","NAN",""
"01/01/2004","NAN",""
"02/01/2004","56",""
"03/01/2004","85",""
"04/01/2004","41",""
"05/01/2004","1",""
"06/01/2004","NAN",""
"07/01/2004","NAN",""
"08/01/2004","NAN",""
"09/01/2004","NAN",""
"10/01/2004","NAN",""
"11/01/2004","NAN",""
"12/01/2004","NAN",""
"01/01/2005","NAN",""
"02/01/2005","76",""
"03/01/2005","94",""
"04/01/2005","108",""
"05/01/2005","76",""
"06/01/2005","NAN",""
"07/01/2005","NAN",""
"08/01/2005","NAN",""
"09/01/2005","NAN",""
"10/01/2005","NAN",""
"11/01/2005","NAN",""
"12/01/2005","NAN",""
"01/01/2006","NAN",""
"02/01/2006","45",""
"03/01/2006","36",""
"04/01/2006","84",""
"05/01/2006","69",""
"06/01/2006","NAN",""
"07/01/2006","NAN",""
"08/01/2006","NAN",""
"09/01/2006","NAN",""
"10/01/2006","NAN",""
"11/01/2006","NAN",""
"12/01/2006","NAN",""
"01/01/2007","NAN",""
"02/01/2007","27",""
"03/01/2007","38",""
"04/01/2007","26",""
"05/01/2007","0",""
"06/01/2007","NAN",""
"07/01/2007","NAN",""
"08/01/2007","NAN",""
"09/01/2007","NAN",""
"10/01/2007","NAN",""
"11/01/2007","NAN",""
"12/01/2007","NAN",""
"01/01/2008","NAN",""
"02/01/2008","84",""
"03/01/2008","89",""
"04/01/2008","54",""
"05/01/2008","20",""
"06/01/2008","NAN",""
"07/01/2008","NAN",""
"08/01/2008","NAN",""
"09/01/2008","NAN",""
"10/01/2008","NAN",""
"11/01/2008","NAN",""
"12/01/2008","NAN",""
"01/01/2009","NAN",""
"02/01/2009","37",""
"03/01/2009","NAN",""
"04/01/2009","52",""
"05/01/2009","14",""
"06/01/2009","NAN",""
"07/01/2009","NAN",""
"08/01/2009","NAN",""
"09/01/2009","NAN",""
"10/01/2009","NAN",""
"11/01/2009","NAN",""
"12/01/2009","NAN",""
"01/01/2010","NAN",""
"02/01/2010","62",""
"03/01/2010","74",""
"04/01/2010","66",""
"05/01/2010","64",""
"06/01/2010","NAN",""
"07/01/2010","NAN",""
"08/01/2010","NAN",""
"09/01/2010","NAN",""
"10/01/2010","NAN",""
"11/01/2010","NAN",""
"12/01/2010","NAN",""
"01/01/2011","NAN",""
"02/01/2011","71",""
"03/01/2011","90",""
"04/01/2011","118",""
"05/01/2011","68",""
"06/01/2011","NAN",""
"07/01/2011","NAN",""
"08/01/2011","NAN",""
"09/01/2011","NAN",""
"10/01/2011","NAN",""
"11/01/2011","NAN",""
"12/01/2011","NAN",""
"01/01/2012","NAN",""
"02/01/2012","19",""
"03/01/2012","31",""
"04/01/2012","30",""
"05/01/2012","5",""
"06/01/2012","NAN",""
"07/01/2012","NAN",""
"08/01/2012","NAN",""
"09/01/2012","NAN",""
"10/01/2012","NAN",""
"11/01/2012","NAN",""
"12/01/2012","NAN",""
"01/01/2013","NAN",""
"02/01/2013","37",""
"03/01/2013","34",""
"04/01/2013","22",""
"05/01/2013","0",""
"06/01/2013","NAN",""
"07/01/2013","NAN",""
"08/01/2013","NAN",""
"09/01/2013","NAN",""
"10/01/2013","NAN",""
"11/01/2013","NAN",""
"12/01/2013","NAN",""
"01/01/2014","NAN",""
"02/01/2014","4",""
"03/01/2014","10",""
"04/01/2014","9",""
"05/01/2014","0",""
"06/01/2014","NAN",""
"07/01/2014","NAN",""
"08/01/2014","NAN",""
"09/01/2014","NAN",""
"10/01/2014","NAN",""
"11/01/2014","NAN",""
"12/01/2014","NAN",""
"01/01/2015","NAN",""
"02/01/2015","8",""
"03/01/2015","0",""
"04/01/2015","0",""
"05/01/2015","0",""
"06/01/2015","NAN",""
"07/01/2015","NAN",""
"08/01/2015","NAN",""
"09/01/2015","NAN",""
"10/01/2015","NAN",""
"11/01/2015","NAN",""
"12/01/2015","NAN",""
"01/01/2016","NAN",""
"02/01/2016","64",""
"03/01/2016","54",""
"04/01/2016","32",""
"05/01/2016","0",""
"06/01/2016","NAN",""
"07/01/2016","NAN",""
"08/01/2016","NAN",""
"09/01/2016","NAN",""
"10/01/2016","NAN",""
"11/01/2016","NAN",""
"12/01/2016","NAN",""
"01/01/2017","NAN",""
"02/01/2017","78",""
"03/01/2017","76",""
"04/01/2017","44",""
"05/01/2017","4",""
"06/01/2017","NAN",""
"07/01/2017","NAN",""
"08/01/2017","NAN",""
"09/01/2017","NAN",""
"10/01/2017","NAN",""
"11/01/2017","NAN",""
"12/01/2017","NAN",""
"01/01/2018","NAN",""
"02/01/2018","12",""
"03/01/2018","10",""
"04/01/2018","34",""
"05/01/2018","0",""
"06/01/2018","NAN",""
"07/01/2018","NAN",""
"08/01/2018","NAN",""
"09/01/2018","NAN",""
"10/01/2018","NAN",""
"11/01/2018","NAN",""
"12/01/2018","NAN",""
"01/01/2019","NAN",""
"02/01/2019","44",""
"03/01/2019","NAN",""
"04/01/2019","88",""
"05/01/2019","37",""
"06/01/2019","NAN",""
"07/01/2019","NAN",""
"08/01/2019","NAN",""
"09/01/2019","NAN",""
"10/01/2019","NAN",""
"11/01/2019","NAN",""
"12/01/2019","NAN",""
"01/01/2020","NAN",""
"02/01/2020","30",""
"03/01/2020","14",""
"04/01/2020","30",""
"05/01/2020","5",""
"06/01/2020","NAN",""
"07/01/2020","NAN",""
"08/01/2020","NAN",""
"09/01/2020","NAN",""
"10/01/2020","NAN",""
"11/01/2020","NAN",""
"12/01/2020","NAN",""
"01/01/2021","NAN",""
"02/01/2021","76",""
"03/01/2021","48",""
"04/01/2021","40",""
"05/01/2021","0",""
"06/01/2021","NAN",""
"07/01/2021","NAN",""
"08/01/2021","NAN",""
"09/01/2021","NAN",""
"10/01/2021","NAN",""
"11/01/2021","NAN",""
"12/01/2021","NAN",""
"01/01/2022","NAN",""
"02/01/2022","47",""
"03/01/2022","40",""
