"DATE / TIME (PDT)","SNO ADJ INCHES",""
"01/01/1974","NAN",""
"02/01/1974","NAN",""
"03/01/1974","25.90",""
"04/01/1974","25.90",""
"05/01/1974","20.90",""
"06/01/1974","NAN",""
"07/01/1974","NAN",""
"08/01/1974","NAN",""
"09/01/1974","NAN",""
"10/01/1974","NAN",""
"11/01/1974","NAN",""
"12/01/1974","NAN",""
"01/01/1975","NAN",""
"02/01/1975","NAN",""
"03/01/1975","34.30",""
"04/01/1975","34.30",""
"05/01/1975","39.80",""
"06/01/1975","NAN",""
"07/01/1975","NAN",""
"08/01/1975","NAN",""
"09/01/1975","NAN",""
"10/01/1975","NAN",""
"11/01/1975","NAN",""
"12/01/1975","NAN",""
"01/01/1976","NAN",""
"02/01/1976","NAN",""
"03/01/1976","10.80",""
"04/01/1976","10.80",""
"05/01/1976","3.20",""
"06/01/1976","NAN",""
"07/01/1976","NAN",""
"08/01/1976","NAN",""
"09/01/1976","NAN",""
"10/01/1976","NAN",""
"11/01/1976","NAN",""
"12/01/1976","NAN",""
"01/01/1977","NAN",""
"02/01/1977","NAN",""
"03/01/1977","6.90",""
"04/01/1977","6.90",""
"05/01/1977","0.00",""
"06/01/1977","NAN",""
"07/01/1977","NAN",""
"08/01/1977","NAN",""
"09/01/1977","NAN",""
"10/01/1977","NAN",""
"11/01/1977","NAN",""
"12/01/1977","NAN",""
"01/01/1978","NAN",""
"02/01/1978","NAN",""
"03/01/1978","42.30",""
"04/01/1978","42.30",""
"05/01/1978","42.20",""
"06/01/1978","NAN",""
"07/01/1978","NAN",""
"08/01/1978","NAN",""
"09/01/1978","NAN",""
"10/01/1978","NAN",""
"11/01/1978","NAN",""
"12/01/1978","NAN",""
"01/01/1979","NAN",""
"02/01/1979","NAN",""
"03/01/1979","29.80",""
"04/01/1979","29.80",""
"05/01/1979","20.90",""
"06/01/1979","NAN",""
"07/01/1979","NAN",""
"08/01/1979","NAN",""
"09/01/1979","NAN",""
"10/01/1979","NAN",""
"11/01/1979","NAN",""
"12/01/1979","NAN",""
"01/01/1980","NAN",""
"02/01/1980","NAN",""
"03/01/1980","28.10",""
"04/01/1980","28.10",""
"05/01/1980","17.60",""
"06/01/1980","NAN",""
"07/01/1980","NAN",""
"08/01/1980","NAN",""
"09/01/1980","NAN",""
"10/01/1980","NAN",""
"11/01/1980","NAN",""
"12/01/1980","NAN",""
"01/01/1981","NAN",""
"02/01/1981","NAN",""
"03/01/1981","21.10",""
"04/01/1981","21.10",""
"05/01/1981","12.40",""
"06/01/1981","NAN",""
"07/01/1981","NAN",""
"08/01/1981","NAN",""
"09/01/1981","NAN",""
"10/01/1981","NAN",""
"11/01/1981","NAN",""
"12/01/1981","NAN",""
"01/01/1982","NAN",""
"02/01/1982","NAN",""
"03/01/1982","29.10",""
"04/01/1982","29.10",""
"05/01/1982","NAN",""
"06/01/1982","NAN",""
"07/01/1982","NAN",""
"08/01/1982","NAN",""
"09/01/1982","NAN",""
"10/01/1982","NAN",""
"11/01/1982","NAN",""
"12/01/1982","NAN",""
"01/01/1983","NAN",""
"02/01/1983","NAN",""
"03/01/1983","55.80",""
"04/01/1983","55.80",""
"05/01/1983","58.30",""
"06/01/1983","NAN",""
"07/01/1983","NAN",""
"08/01/1983","NAN",""
"09/01/1983","NAN",""
"10/01/1983","NAN",""
"11/01/1983","NAN",""
"12/01/1983","NAN",""
"01/01/1984","NAN",""
"02/01/1984","NAN",""
"03/01/1984","7.60",""
"04/01/1984","7.60",""
"05/01/1984","0.00",""
"06/01/1984","NAN",""
"07/01/1984","NAN",""
"08/01/1984","NAN",""
"09/01/1984","NAN",""
"10/01/1984","NAN",""
"11/01/1984","NAN",""
"12/01/1984","NAN",""
"01/01/1985","NAN",""
"02/01/1985","NAN",""
"03/01/1985","25.60",""
"04/01/1985","25.60",""
"05/01/1985","8.80",""
"06/01/1985","NAN",""
"07/01/1985","NAN",""
"08/01/1985","NAN",""
"09/01/1985","NAN",""
"10/01/1985","NAN",""
"11/01/1985","NAN",""
"12/01/1985","NAN",""
"01/01/1986","NAN",""
"02/01/1986","NAN",""
"03/01/1986","19.00",""
"04/01/1986","19.00",""
"05/01/1986","0.00",""
"06/01/1986","NAN",""
"07/01/1986","NAN",""
"08/01/1986","NAN",""
"09/01/1986","NAN",""
"10/01/1986","NAN",""
"11/01/1986","NAN",""
"12/01/1986","NAN",""
"01/01/1987","NAN",""
"02/01/1987","NAN",""
"03/01/1987","12.00",""
"04/01/1987","12.00",""
"05/01/1987","0.60",""
"06/01/1987","NAN",""
"07/01/1987","NAN",""
"08/01/1987","NAN",""
"09/01/1987","NAN",""
"10/01/1987","NAN",""
"11/01/1987","NAN",""
"12/01/1987","NAN",""
"01/01/1988","NAN",""
"02/01/1988","NAN",""
"03/01/1988","3.30",""
"04/01/1988","3.30",""
"05/01/1988","0.00",""
"06/01/1988","NAN",""
"07/01/1988","NAN",""
"08/01/1988","NAN",""
"09/01/1988","NAN",""
"10/01/1988","NAN",""
"11/01/1988","NAN",""
"12/01/1988","NAN",""
"01/01/1989","NAN",""
"02/01/1989","18.10",""
"03/01/1989","18.10",""
"04/01/1989","22.10",""
"05/01/1989","3.30",""
"06/01/1989","NAN",""
"07/01/1989","NAN",""
"08/01/1989","NAN",""
"09/01/1989","NAN",""
"10/01/1989","NAN",""
"11/01/1989","NAN",""
"12/01/1989","NAN",""
"01/01/1990","NAN",""
"02/01/1990","10.00","e"
"03/01/1990","15.10","e"
"04/01/1990","9.10","e"
"05/01/1990","0.00","e"
"06/01/1990","NAN",""
"07/01/1990","NAN",""
"08/01/1990","NAN",""
"09/01/1990","NAN",""
"10/01/1990","NAN",""
"11/01/1990","NAN",""
"12/01/1990","0.00",""
"01/01/1991","0.00",""
"02/01/1991","3.50","e"
"03/01/1991","3.00","e"
"04/01/1991","19.90","e"
"05/01/1991","11.10","e"
"06/01/1991","NAN",""
"07/01/1991","NAN",""
"08/01/1991","NAN",""
"09/01/1991","NAN",""
"10/01/1991","NAN",""
"11/01/1991","NAN",""
"12/01/1991","NAN",""
"01/01/1992","NAN",""
"02/01/1992","7.50","e"
"03/01/1992","14.60","e"
"04/01/1992","13.30","e"
"05/01/1992","0.00","e"
"06/01/1992","NAN",""
"07/01/1992","NAN",""
"08/01/1992","NAN",""
"09/01/1992","NAN",""
"10/01/1992","NAN",""
"11/01/1992","NAN",""
"12/01/1992","NAN",""
"01/01/1993","NAN",""
"02/01/1993","28.50","e"
"03/01/1993","41.20","e"
"04/01/1993","36.10","e"
"05/01/1993","22.50","e"
"06/01/1993","NAN",""
"07/01/1993","NAN",""
"08/01/1993","NAN",""
"09/01/1993","NAN",""
"10/01/1993","NAN",""
"11/01/1993","NAN",""
"12/01/1993","NAN",""
"01/01/1994","NAN",""
"02/01/1994","7.00","e"
"03/01/1994","17.30","e"
"04/01/1994","13.90","e"
"05/01/1994","3.00","e"
"06/01/1994","NAN",""
"07/01/1994","NAN",""
"08/01/1994","NAN",""
"09/01/1994","NAN",""
"10/01/1994","NAN",""
"11/01/1994","NAN",""
"12/01/1994","NAN",""
"01/01/1995","NAN",""
"02/01/1995","26.50","e"
"03/01/1995","28.10","e"
"04/01/1995","39.20","e"
"05/01/1995","23.60","e"
"06/01/1995","NAN",""
"07/01/1995","NAN",""
"08/01/1995","NAN",""
"09/01/1995","NAN",""
"10/01/1995","NAN",""
"11/01/1995","NAN",""
"12/01/1995","NAN",""
"01/01/1996","NAN",""
"02/01/1996","16.50","e"
"03/01/1996","25.00","e"
"04/01/1996","29.30","e"
"05/01/1996","4.20","e"
"06/01/1996","NAN",""
"07/01/1996","NAN",""
"08/01/1996","NAN",""
"09/01/1996","NAN",""
"10/01/1996","NAN",""
"11/01/1996","NAN",""
"12/01/1996","NAN",""
"01/01/1997","NAN",""
"02/01/1997","27.90","e"
"03/01/1997","25.40","e"
"04/01/1997","13.90","e"
"05/01/1997","0.00","e"
"06/01/1997","NAN",""
"07/01/1997","NAN",""
"08/01/1997","NAN",""
"09/01/1997","NAN",""
"10/01/1997","NAN",""
"11/01/1997","NAN",""
"12/01/1997","NAN",""
"01/01/1998","NAN",""
"02/01/1998","18.90","e"
"03/01/1998","39.30","e"
"04/01/1998","39.40","e"
"05/01/1998","34.00","e"
"06/01/1998","NAN",""
"07/01/1998","NAN",""
"08/01/1998","NAN",""
"09/01/1998","NAN",""
"10/01/1998","NAN",""
"11/01/1998","NAN",""
"12/01/1998","NAN",""
"01/01/1999","NAN",""
"02/01/1999","14.00","e"
"03/01/1999","28.50","e"
"04/01/1999","49.90","e"
"05/01/1999","17.00","e"
"06/01/1999","NAN",""
"07/01/1999","NAN",""
"08/01/1999","NAN",""
"09/01/1999","NAN",""
"10/01/1999","NAN",""
"11/01/1999","NAN",""
"12/01/1999","NAN",""
"01/01/2000","NAN",""
"02/01/2000","NAN",""
"03/01/2000","21.80","e"
"04/01/2000","18.20","e"
"05/01/2000","9.50","e"
"06/01/2000","NAN",""
"07/01/2000","NAN",""
"08/01/2000","NAN",""
"09/01/2000","NAN",""
"10/01/2000","NAN",""
"11/01/2000","NAN",""
"12/01/2000","NAN",""
"01/01/2001","NAN",""
"02/01/2001","11.90","e"
"03/01/2001","18.50","e"
"04/01/2001","16.80","e"
"05/01/2001","10.30","e"
"06/01/2001","NAN",""
"07/01/2001","NAN",""
"08/01/2001","NAN",""
"09/01/2001","NAN",""
"10/01/2001","NAN",""
"11/01/2001","NAN",""
"12/01/2001","NAN",""
"01/01/2002","NAN",""
"02/01/2002","20.00","e"
"03/01/2002","19.90","e"
"04/01/2002","21.50","e"
"05/01/2002","6.60","e"
"06/01/2002","NAN",""
"07/01/2002","NAN",""
"08/01/2002","NAN",""
"09/01/2002","NAN",""
"10/01/2002","NAN",""
"11/01/2002","NAN",""
"12/01/2002","NAN",""
"01/01/2003","NAN",""
"02/01/2003","15.30","e"
"03/01/2003","15.70","e"
"04/01/2003","9.40","e"
"05/01/2003","14.90","e"
"06/01/2003","NAN",""
"07/01/2003","NAN",""
"08/01/2003","NAN",""
"09/01/2003","NAN",""
"10/01/2003","NAN",""
"11/01/2003","NAN",""
"12/01/2003","NAN",""
"01/01/2004","NAN",""
"02/01/2004","18.10","e"
"03/01/2004","27.30","e"
"04/01/2004","19.50","e"
"05/01/2004","0.40","e"
"06/01/2004","NAN",""
"07/01/2004","NAN",""
"08/01/2004","NAN",""
"09/01/2004","NAN",""
"10/01/2004","NAN",""
"11/01/2004","NAN",""
"12/01/2004","NAN",""
"01/01/2005","NAN",""
"02/01/2005","28.50","e"
"03/01/2005","40.30","e"
"04/01/2005","48.00","e"
"05/01/2005","39.30","e"
"06/01/2005","NAN",""
"07/01/2005","NAN",""
"08/01/2005","NAN",""
"09/01/2005","NAN",""
"10/01/2005","NAN",""
"11/01/2005","NAN",""
"12/01/2005","NAN",""
"01/01/2006","NAN",""
"02/01/2006","14.20","e"
"03/01/2006","16.70","e"
"04/01/2006","28.10","e"
"05/01/2006","32.00","e"
"06/01/2006","NAN",""
"07/01/2006","NAN",""
"08/01/2006","NAN",""
"09/01/2006","NAN",""
"10/01/2006","NAN",""
"11/01/2006","NAN",""
"12/01/2006","NAN",""
"01/01/2007","NAN",""
"02/01/2007","6.40","e"
"03/01/2007","14.50","e"
"04/01/2007","9.80","e"
"05/01/2007","0.00","e"
"06/01/2007","NAN",""
"07/01/2007","NAN",""
"08/01/2007","NAN",""
"09/01/2007","NAN",""
"10/01/2007","NAN",""
"11/01/2007","NAN",""
"12/01/2007","NAN",""
"01/01/2008","NAN",""
"02/01/2008","22.60","e"
"03/01/2008","29.40","e"
"04/01/2008","25.90","e"
"05/01/2008","10.20","e"
"06/01/2008","NAN",""
"07/01/2008","NAN",""
"08/01/2008","NAN",""
"09/01/2008","NAN",""
"10/01/2008","NAN",""
"11/01/2008","NAN",""
"12/01/2008","NAN",""
"01/01/2009","NAN",""
"02/01/2009","NAN",""
"03/01/2009","NAN",""
"04/01/2009","NAN",""
"05/01/2009","NAN",""
"06/01/2009","NAN",""
"07/01/2009","NAN",""
"08/01/2009","NAN",""
"09/01/2009","NAN",""
"10/01/2009","NAN",""
"11/01/2009","NAN",""
"12/01/2009","NAN",""
"01/01/2010","NAN",""
"02/01/2010","NAN",""
"03/01/2010","NAN",""
"04/01/2010","NAN",""
"05/01/2010","NAN",""
"06/01/2010","NAN",""
"07/01/2010","NAN",""
"08/01/2010","NAN",""
"09/01/2010","NAN",""
"10/01/2010","NAN",""
"11/01/2010","NAN",""
"12/01/2010","NAN",""
"01/01/2011","NAN",""
"02/01/2011","NAN",""
"03/01/2011","NAN",""
"04/01/2011","NAN",""
"05/01/2011","NAN",""
"06/01/2011","NAN",""
"07/01/2011","NAN",""
"08/01/2011","NAN",""
"09/01/2011","NAN",""
"10/01/2011","NAN",""
"11/01/2011","NAN",""
"12/01/2011","NAN",""
"01/01/2012","NAN",""
"02/01/2012","NAN",""
"03/01/2012","NAN",""
"04/01/2012","NAN",""
"05/01/2012","NAN",""
"06/01/2012","NAN",""
"07/01/2012","NAN",""
"08/01/2012","NAN",""
"09/01/2012","NAN",""
"10/01/2012","NAN",""
"11/01/2012","NAN",""
"12/01/2012","NAN",""
"01/01/2013","NAN",""
"02/01/2013","NAN",""
"03/01/2013","NAN",""
"04/01/2013","NAN",""
"05/01/2013","NAN",""
"06/01/2013","NAN",""
"07/01/2013","NAN",""
"08/01/2013","NAN",""
"09/01/2013","NAN",""
"10/01/2013","NAN",""
"11/01/2013","NAN",""
"12/01/2013","NAN",""
"01/01/2014","NAN",""
"02/01/2014","NAN",""
"03/01/2014","NAN",""
"04/01/2014","NAN",""
"05/01/2014","NAN",""
"06/01/2014","NAN",""
"07/01/2014","NAN",""
"08/01/2014","NAN",""
"09/01/2014","NAN",""
"10/01/2014","NAN",""
"11/01/2014","NAN",""
"12/01/2014","NAN",""
"01/01/2015","NAN",""
"02/01/2015","NAN",""
"03/01/2015","NAN",""
"04/01/2015","NAN",""
"05/01/2015","NAN",""
"06/01/2015","NAN",""
"07/01/2015","NAN",""
"08/01/2015","NAN",""
"09/01/2015","NAN",""
"10/01/2015","NAN",""
"11/01/2015","NAN",""
"12/01/2015","NAN",""
"01/01/2016","NAN",""
"02/01/2016","NAN",""
"03/01/2016","NAN",""
"04/01/2016","NAN",""
"05/01/2016","NAN",""
"06/01/2016","NAN",""
"07/01/2016","NAN",""
"08/01/2016","NAN",""
"09/01/2016","NAN",""
"10/01/2016","NAN",""
"11/01/2016","NAN",""
"12/01/2016","NAN",""
"01/01/2017","NAN",""
"02/01/2017","NAN",""
"03/01/2017","NAN",""
"04/01/2017","NAN",""
"05/01/2017","NAN",""
"06/01/2017","NAN",""
"07/01/2017","NAN",""
"08/01/2017","NAN",""
"09/01/2017","NAN",""
"10/01/2017","NAN",""
"11/01/2017","NAN",""
"12/01/2017","NAN",""
"01/01/2018","NAN",""
"02/01/2018","NAN",""
"03/01/2018","NAN",""
"04/01/2018","NAN",""
"05/01/2018","NAN",""
"06/01/2018","NAN",""
"07/01/2018","NAN",""
"08/01/2018","NAN",""
"09/01/2018","NAN",""
"10/01/2018","NAN",""
"11/01/2018","NAN",""
"12/01/2018","NAN",""
"01/01/2019","NAN",""
"02/01/2019","NAN",""
"03/01/2019","NAN",""
"04/01/2019","NAN",""
"05/01/2019","NAN",""
"06/01/2019","NAN",""
"07/01/2019","NAN",""
"08/01/2019","NAN",""
"09/01/2019","NAN",""
"10/01/2019","NAN",""
"11/01/2019","NAN",""
"12/01/2019","NAN",""
"01/01/2020","NAN",""
"02/01/2020","NAN",""
"03/01/2020","NAN",""
"04/01/2020","NAN",""
"05/01/2020","NAN",""
"06/01/2020","NAN",""
"07/01/2020","NAN",""
"08/01/2020","NAN",""
"09/01/2020","NAN",""
"10/01/2020","NAN",""
"11/01/2020","NAN",""
"12/01/2020","NAN",""
"01/01/2021","NAN",""
"02/01/2021","NAN",""
"03/01/2021","NAN",""
"04/01/2021","NAN",""
